Date,RELIANCE_Open,RELIANCE_High,RELIANCE_Low,RELIANCE_Close,RELIANCE_Volume,TCS_Open,TCS_High,TCS_Low,TCS_Close,TCS_Volume,INFY_Open,INFY_High,INFY_Low,INFY_Close,INFY_Volume,HDFCBANK_Open,HDFCBANK_High,HDFCBANK_Low,HDFCBANK_Close,HDFCBANK_Volume,NIFTY50_Open,NIFTY50_High,NIFTY50_Low,NIFTY50_Close,NIFTY50_Volume
2021-09-01,1029.482446811587,1038.495504793424,1024.9532755584123,1026.8101806640625,11145486,3315.6595696692425,3333.7401785192724,3237.921502835585,3244.865478515625,2643336,1488.9275478953632,1488.9275478953632,1457.267717526702,1461.274169921875,7801974,736.9405133137502,747.702184301824,736.7065639444443,738.85888671875,12422558,17185.599609375,17225.75,17055.05078125,17076.25,301900.0
2021-09-02,1021.3299483032399,1045.2440116453542,1021.3299483032399,1039.1749267578125,9956770,3261.5059614409574,3370.8196070135054,3251.024421125668,3351.254150390625,3403717,1460.9257408190936,1475.688788882233,1448.1224872534362,1471.15966796875,6830050,736.5193258393732,744.8947239198199,735.185825979282,743.4910278320312,9618524,17095.400390625,17245.5,17059.69921875,17234.150390625,242400.0
2021-09-03,1046.2403322593964,1084.7384068201698,1042.8435137983438,1081.79443359375,30664428,3340.990494271571,3368.853832964031,3323.128247873257,3355.883056640625,1746812,1477.212786491816,1485.835328224775,1467.0659367338824,1481.21923828125,5339139,742.1342331690153,747.7022399965548,733.8056692712737,737.431884765625,10735334,17262.44921875,17340.099609375,17212.19921875,17323.599609375,261400.0
2021-09-06,1092.8909697996994,1123.2365131929273,1092.4380047519112,1098.5977783203125,33641710,3362.564482355028,3386.9341846203447,3331.381951416269,3364.573486328125,1723693,1485.1386831091097,1508.5242719501346,1480.0870004095007,1507.1307373046875,4876026,739.2565458922177,739.724444603404,730.8343690908638,732.5889892578125,7876896,17399.349609375,17429.55078125,17345.55078125,17377.80078125,228000.0
2021-09-07,1100.5904921516135,1113.272195169168,1092.4379602260194,1105.52734375,17349882,3375.056074353775,3380.25312892022,3326.3605836329616,3333.04248046875,1585039,1506.782500124992,1511.0502868517522,1484.137213995946,1486.4453125,3520341,731.0917446980607,740.2157696718924,727.6760612202143,734.2500610351562,7245496,17401.55078125,17436.5,17287.0,17362.099609375,243400.0
2021-09-08,1110.5549614804072,1111.460771899485,1090.0150722909684,1101.2021484375,14301651,3327.8883877901417,3332.2556953856665,3280.72146575847,3296.57470703125,4147175,1481.393539587416,1481.393539587416,1465.8031107394431,1474.774169921875,4584896,735.5133365404894,739.5138932608036,732.5421912271912,737.5955200195312,6724080,17375.75,17383.400390625,17254.19921875,17353.5,252700.0
2021-09-09,1099.6394421897962,1104.145971203985,1094.2950296674799,1098.5977783203125,8963249,3310.157003802656,3326.752772302166,3288.5825474027815,3311.641845703125,1441148,1468.3726571492882,1476.2114101731731,1465.1065100560027,1473.337158203125,3331674,736.472648615316,739.0226740119963,730.3899647322161,733.9459838867188,8250948,17312.849609375,17379.650390625,17302.69921875,17369.25,241500.0
2021-09-13,1101.949327153265,1101.949327153265,1072.5323557228828,1074.1175537109375,16311160,3290.329823827149,3364.9233586382898,3290.329823827149,3358.765625,1691473,1465.8468336141766,1481.9598261405356,1459.0532050480786,1473.5985107421875,4662374,730.8578287988149,741.1516010354179,726.950885759595,727.8399047851562,8959164,17363.55078125,17378.349609375,17269.150390625,17355.30078125,241100.0
2021-09-14,1075.6799942004575,1084.2853708994928,1071.6036685532943,1072.71337890625,8908356,3362.783182604123,3403.4428595697864,3340.990360029368,3394.18408203125,1991188,1477.12592169284,1477.12592169284,1462.0145685181678,1468.5904541015625,4945167,729.9220541014536,732.0275984882848,723.6521993929138,724.5646362304688,9758506,17420.349609375,17438.55078125,17367.05078125,17380.0,230400.0
2021-09-15,1072.7360805602518,1085.0780298856923,1072.7360805602518,1077.1746826171875,9071075,3390.8656927872025,3476.3775064534852,3376.802874359089,3454.14794921875,2461369,1474.7741973936459,1493.8049254065334,1472.117688719493,1490.6258544921875,4062344,718.2246212056044,727.4890398176126,718.2246212056044,723.745849609375,14822998,17387.650390625,17532.69921875,17386.900390625,17519.44921875,388200.0
